gene1,gene2,combined_score
NUCKS1,CDK1,631
LMNA,CDK1,612
LMNA,CDK1,612
TTK,CDK1,905
TTK,CDK1,905
JUN,CDK1,778
JUN,CDK1,778
CEP55,CDK1,957
CEP55,CDK1,957
ZWINT,CDK1,950
ZWINT,CDK1,950
CKS2,CDK1,999
CKS2,CDK1,999
CTTN,CDK1,565
CTTN,CDK1,565
PCNA,CDK1,930
PCNA,CDK1,930
SQSTM1,CDK1,762
SQSTM1,CDK1,762
PTTG1,CDK1,985
PTTG1,CDK1,985
KIF20A,CDK1,958
KIF20A,CDK1,958
MRPS7,RPS29,862
MRPS7,RPS29,862
RPL8,RPS29,999
RPL8,RPS29,999
RPL37,RPS29,999
RPL37,RPS29,999
MRPL4,RPS29,845
MRPL4,RPS29,845
RPL38,RPS29,999
RPL38,RPS29,999
RPS21,RPS29,999
RPS21,RPS29,999
RPL39,RPS29,999
RPL39,RPS29,999
YBX1,RPS29,590
YBX1,RPS29,590
ATP5MC1,RPS29,535
ATP5MC1,RPS29,535
PRDX1,TSPO,474
PRDX1,TSPO,474
STAR,TSPO,993
STAR,TSPO,993
BAX,TSPO,719
BAX,TSPO,719
MECOM,ETV6,685
MECOM,ETV6,685
PER1,ETV6,429
PER1,ETV6,429
GATA2,ETV6,687
GATA2,ETV6,687
GAB2,ETV6,691
GAB2,ETV6,691
LMNA,ETV6,427
LMNA,ETV6,427
CD38,ITGB2,455
CD38,ITGB2,455
CFP,ITGB2,415
CFP,ITGB2,415
C5AR1,ITGB2,608
C5AR1,ITGB2,608
CD300A,ITGB2,598
CD300A,ITGB2,598
LST1,ITGB2,415
LST1,ITGB2,415
CD83,ITGB2,425
CD83,ITGB2,425
BHLHE40,CSNK1D,682
BHLHE40,CSNK1D,682
PER1,CSNK1D,984
PER1,CSNK1D,984
RPS21,CSNK1D,806
RPS21,CSNK1D,806
CTTN,CSNK1D,496
CTTN,CSNK1D,496
CDK1,CSNK1D,476
CDK1,CSNK1D,476
RPS29,CSNK1D,809
RPS29,CSNK1D,809
KLF2,RUNX3,497
KLF2,RUNX3,497
MECOM,RUNX3,481
MECOM,RUNX3,481
RARB,RUNX3,501
RARB,RUNX3,501
GATA2,RUNX3,458
GATA2,RUNX3,458
JUN,RUNX3,593
JUN,RUNX3,593
MRPS7,RPL31,944
MRPS7,RPL31,944
RPL8,RPL31,999
RPL8,RPL31,999
RPL37,RPL31,999
RPL37,RPL31,999
MRPL4,RPL31,952
MRPL4,RPL31,952
RPL38,RPL31,999
RPL38,RPL31,999
EIF4A2,RPL31,406
EIF4A2,RPL31,406
TUBB,RPL31,810
TUBB,RPL31,810
RPS21,RPL31,999
RPS21,RPL31,999
RPL39,RPL31,999
RPL39,RPL31,999
YBX1,RPL31,401
YBX1,RPL31,401
RPS29,RPL31,999
RPS29,RPL31,999
CHN2,CHN1,528
CHN2,CHN1,528
EEF1A2,IDH1,402
EEF1A2,IDH1,402
PRDX1,IDH1,487
PRDX1,IDH1,487
HK2,IDH1,569
HK2,IDH1,569
ALDH1A1,IDH1,739
ALDH1A1,IDH1,739
GATA2,IDH1,570
GATA2,IDH1,570
