gene_name,significant,difference,logpval
SLC29A1,+,-0.260693311691284,1.48964616641301
ARHGEF40,+,0.583627223968506,2.50399402778064
HMGCS1,+,-1.20063066482544,2.22396850404464
NABP1,+,0.804700613021851,2.31122191319975
CEMIP,+,0.652858555316925,2.67129005057521
BHLHE41,+,1.21113836765289,1.78832508307151
MYO18B,+,3.75167214870453,1.39147786898279
LRIT3,+,0.984159469604492,1.55400072102023
COL24A1,+,2.28619289398193,5.03305820200045
ERICH1,+,0.414019346237183,2.55459661093519
RSAD2,+,0.996038317680359,1.61565675675496
TCAP,+,0.777308344841003,1.78862333343832
TSC22D3,+,0.747873783111572,1.9274085558967
MCM3,+,-0.490362167358398,1.98363346715724
MAF,+,2.26791059970856,3.15655392464638
PRTFDC1,+,-0.621058344841003,1.35502077938665
BCO2,+,1.288409948349,1.63799949705977
LENG8,+,0.427815198898315,2.30742075630274
PTTG1,+,-0.405460834503174,2.2525292273442
NFE2L2,+,0.7155442237854,1.38591446279324
AIF1,+,-0.639355182647705,1.31914488392265
PHTF1,+,0.217975854873657,1.53316266869646
MTERF4,+,0.393815517425537,1.36662636260756
LMNTD2,+,0.819986581802368,2.61021184290857
ZNF221,+,0.625673174858093,2.05415756827881
CNFN,+,0.490956604480743,1.30843999734204
IRF7,+,0.406869292259216,1.73600106166652
MTRNR2L3,+,0.502959311008453,2.16281870915439
CSNK1D,+,0.290029525756836,1.87477133419061
PIF1,+,-0.509787321090698,2.06329862817126
RAB9A,+,0.49670147895813,1.50697256274106
ADPRM,+,0.754841327667236,2.31332806160016
TDRD9,+,0.575640439987183,1.33732039281675
ATG4A,+,0.249552965164185,1.33700377943321
LGALS12,+,1.16246676445007,2.42773029006998
THBS1,+,2.20354247093201,1.96461223938621
NIT1,+,0.312983512878418,1.81486494403832
TLCD2,+,1.38584583997726,1.51671981971576
SESN3,+,0.626780033111572,1.62871873877315
KCND1,+,0.622296094894409,1.66875922364197
ANAPC2,+,0.254102230072021,1.43838113858374
SSBP2,+,0.410064458847046,1.8132652859474
ZXDC,+,0.288951635360718,1.67252485974952
TTN,+,2.10147881507874,2.75482509446368
NR4A3,+,2.01209723949432,3.71101147396061
NUSAP1,+,-0.447938203811646,1.90042238601055
CYP1B1,+,2.16816747188568,2.15886031501945
ZBTB14,+,0.286885738372803,1.39672096729706
FAM72D,+,-0.636437892913818,1.69273484401167
BRWD1,+,0.534687995910645,2.83434208328424
CNIH1,+,-0.413327932357788,1.44763515730108
TRIOBP,+,0.427981853485107,1.79595561612976
CHFR,+,0.224310398101807,1.55413916932199
GDPD3,+,0.718926906585693,1.63974622726593
SAP30L,+,0.238036155700684,1.33686714302316
BOLA3,+,-0.595658302307129,2.12948984077135
SERTAD3,+,0.245430827140808,1.43258515638462
JUN,+,1.58610057830811,1.91313105853927
C19orf71,+,0.675793647766113,1.78071342980677
SV2C,+,1.0424812734127,1.8659215369498
HEXDC,+,0.367221117019653,1.45836332297418
PTK2B,+,0.354028940200806,1.54131525839083
ZKSCAN4,+,0.304506063461304,1.70736210392647
IL1R1,+,0.777819633483887,2.04997971723704
CYLD,+,0.448417186737061,1.93287842452668
RAPGEF3,+,1.10455572605133,2.21188227173869
CCNB2,+,-0.366703271865845,1.77340777887714
CCNB2V,+,-0.366703271865845,1.77340777887714
CASZ1,+,0.335617780685425,1.7814044082721
C16orf96,+,1.57225322723389,2.00326642091502
ZFYVE27,+,0.321997165679932,2.20484853566871
