gene,L1_Krishnan_scRNAseq,L2_Awad_CRISPR_KO,L3_Krishnan_ML,L4_Sacco_RNAseq,L5_Sacco_Phospho,evidence_count
PAN3,0,0,0,1,0,1
PANK1,0,0,0,1,0,1
PADI4,1,0,0,0,0,1
TRIAP1,1,0,0,0,0,1
TRIB1,0,1,0,0,0,1
TRIM10,0,1,0,0,0,1
TRIM15,0,1,0,0,0,1
TRIM22,0,0,0,1,0,1
TRIM24,0,0,0,0,1,1
TRIM25,0,0,0,0,1,1
TRIM28,0,0,0,0,1,1
S100A11,1,0,0,0,0,1
TRIM4,0,0,0,1,0,1
TRIM73,0,0,0,1,0,1
TRIM74,0,0,0,1,0,1
TRIM8,0,0,0,1,0,1
TRMT44,0,0,0,1,0,1
TRNT1,0,0,0,1,0,1
TSC1,0,0,0,1,0,1
TSC2,0,0,0,1,0,1
TRIM38,0,0,0,1,0,1
TOMM7,1,0,0,0,0,1
TOPBP1,0,0,0,0,1,1
TOPORS,0,0,0,0,1,1
TOX4,0,0,0,1,0,1
TP53BP2,0,0,0,0,1,1
TPI1,1,0,0,0,0,1
TPM3,1,0,0,0,0,1
TPM4,1,0,0,0,0,1
TRH,0,0,0,1,0,1
TPT1,0,0,0,1,0,1
TRAF1,0,0,0,1,0,1
TRAF2,0,0,0,0,1,1
TRAK2,0,1,0,0,0,1
TRAPPC1,1,0,0,0,0,1
TRBC2,1,0,0,0,0,1
TREML2,0,1,0,0,0,1
TRG-AS1,1,0,0,0,0,1
TRGC1,1,0,0,0,0,1
