gene,p_val,avg_log2FC,pct1,pct2,p_val_adj,Class,gene_clean
MRPL13,1.93227100458304e-31,0.299301770987866,0.71,0.484,4.6772551936937e-27,C,MRPL13
CFP,2.04889332589952e-31,0.269971672247573,0.469,0.244,4.95955118467237e-27,C,CFP
LAMTOR2,2.82756071416099e-31,0.310471675862604,0.807,0.611,6.84439346469808e-27,C,LAMTOR2
TCF4.2,3.25902536263434e-31,-0.431170089277645,0.395,0.571,7.88879679279268e-27,C,TCF4
MDH2,3.47060916705181e-31,0.288054691397881,0.96,0.925,8.40095654976561e-27,C,MDH2
ATP6V0E1.2,3.4836833991713e-31,0.352709041040909,0.886,0.73,8.43260403603405e-27,C,ATP6V0E1
NDUFV1,4.51037610768154e-31,0.31080052495714,0.943,0.832,1.09178164062539e-26,C,NDUFV1
IER2.3,5.50209999212047e-31,-0.958687760703438,0.732,0.826,1.33183832409268e-26,C,IER2
GAPDH,8.31713492795083e-31,0.254608089860168,1,1,2.01324568065978e-26,C,GAPDH
PCDH9.2,9.93336187212331e-31,-0.425340198732397,0.017,0.211,2.40446957476617e-26,C,PCDH9
INPP4B.2,1.8302361892138e-17,0.336408103249185,0.518,0.293,2.86362697196108e-26,C,INPP4B
SERPING1,1.59699635661329e-30,-0.363685377017488,0.492,0.674,3.86568938081813e-26,C,SERPING1
MRPL18.2,1.96752718278502e-30,0.307566420161628,0.796,0.587,4.76259629864941e-26,C,MRPL18
DAZAP2,2.25088624494828e-30,-0.314275417727762,0.966,0.975,5.44849524452181e-26,C,DAZAP2
BHLHE40,3.52879937689004e-30,-0.414803350599612,56,0.368,8.54181177170003e-26,C,BHLHE40
SRSF11,4.5122243297633e-30,0.310985220891196,0.953,0.87,1.0922290212625e-25,C,SRSF11
ANPEP,4.69988036468e-43,0.316284613548965,0.419,89,1.3765304107444e-25,C,ANPEP
PDE4B.3,6.65765633576454e-30,-0.393115195921183,34,0.348,1.61155229263516e-25,C,PDE4B
TMEM98,6.89985149116699e-30,-0.270185534266426,0.03,0.224,1.67017805195188e-25,C,TMEM98
RPS19BP1,6.95840672347455e-30,0.309803994722502,0.769,0.575,1.68435193148425e-25,C,RPS19BP1
DDOST,8.01256328431277e-30,0.278866951951399,0.941,0.863,1.93952106860075e-25,C,DDOST
DCTPP1,8.09477406188342e-30,0.345147919865175,0.821,0.627,1.9594210094195e-25,C,DCTPP1
PSMB8,1.25138944074402e-29,0.303585324965942,0.95,0.86,3.02911328026498e-25,C,PSMB8
COX6A1,1.52237787162736e-29,0.285756398810061,0.99,0.948,3.68506787606119e-25,C,COX6A1
